"","Fraud","Fraud_times_30","Fraud_times_14","Fraud_times_7","Fraud_times_3","Fraud_times_1","Total_amount_card_7","Total_amount_card_14","Max_amount_card_30","Total_amount_card_3","Avg_amount_merch_3","Avg_amount_card_3","Max_amount_card_14","Avg_amount_card_30","Median_amount_card_3","Max_amount_card_3","Total_amount_card_30","Max_amount_card_7","Max_amount_merch_3","Total_amount_merch_7","Total_amount_merch_3"
"89302",0,0,0,0,0,0,7.24,7.24,3.62,7.24,14.36391,3.62,3.62,3.62,3.62,3.62,7.24,3.62,69.45,796.23,660.74
"89303",0,0,0,0,0,0,7282.83,13194.44,2440.62,94.25,0,94.25,2440.62,424.9685,94.25,94.25,26348.05,2440.62,0,784.52,0
"89304",0,0,0,0,0,0,5010.18,5010.18,2278,758.51,0,758.51,2278,720.8329,758.51,758.51,5045.83,2278,0,0,0
"89305",0,0,0,0,0,0,43.94,43.94,211,0,0,0,43.94,91.59333,0,0,274.78,43.94,0,0,0
"89306",0,0,0,0,0,0,15.2,75.76,60.56,0,0,0,60.56,37.88,0,0,75.76,15.2,0,15.2,0
"89307",0,0,0,0,0,0,0,36.92,36.92,0,0,0,36.92,36.92,0,0,36.92,0,0,0,0
"89308",0,0,0,0,0,0,1554.18,2807.18,1910,0,0,0,723,248.0393,0,0,7441.18,723,0,0,0
"89309",0,0,0,0,0,0,0,0,2399,0,0,0,0,839.59,0,0,2518.77,0,0,0,0
"89310",0,0,0,0,0,0,2473.4,5433.76,1090.75,0,0,0,1090.75,252.8037,0,0,8089.72,1090.75,0,4361.76,0
"89311",0,0,0,0,0,0,26137.34,53831.1,16939,673.86,786.04,673.86,16939,1730.145,673.86,673.86,89967.53,14732.93,1131,46424.46,3144.16
"89312",0,0,0,0,0,0,0,0,0,0,786.04,0,0,0,0,0,0,0,1131,46424.46,3144.16
"89313",0,0,0,0,0,0,1825.33,1825.33,1536.03,0,0,0,1536.03,759.7467,0,0,2279.24,1536.03,0,5420.99,0
"89314",0,0,0,0,0,0,26389,27276.5,23515,0,786.04,0,23515,3854.036,0,0,38540.36,23515,1131,46424.46,3144.16
"89315",0,0,0,0,0,0,1678.39,2314.39,1074,0,0,0,1074,408.34,0,0,2858.38,1074,0,5420.99,0
"89316",0,0,0,0,0,0,26.5,907.96,950,0,1754,0,615.93,256.5773,0,0,2822.35,26.5,1754,4104.69,1754
"89317",0,0,0,0,0,0,519.6,3192.55,1806,0,0,0,1806,549.913,0,0,5499.13,519.6,0,3140.96,0
"89318",0,0,0,0,0,0,6.87,133.07,814.11,0,0,0,119.33,196.1467,0,0,1765.32,6.87,0,0,0
"89319",0,0,0,0,0,0,139.95,139.95,139.95,139.95,0,139.95,139.95,139.95,139.95,139.95,139.95,139.95,0,0,0
"89320",0,0,0,0,0,0,0,139.95,257.02,0,0,0,139.95,198.485,0,0,396.97,0,0,0,0
"89321",0,0,0,0,0,0,0,0,290,0,0,0,0,145.26,0,0,435.78,0,0,0,0
"89322",0,0,0,0,0,0,91.31,91.31,91.31,91.31,1197.155,91.31,91.31,91.31,91.31,91.31,91.31,91.31,8296.63,42052.39,19154.48
"89323",0,0,0,0,0,0,77.74,251.74,653,0,0,0,174,289.4586,0,0,2026.21,77.74,0,1073.76,0
"89324",0,0,0,0,0,0,3203.28,4372.7,2245.55,0,0,0,2245.55,405.1071,0,0,6886.82,2245.55,0,0,0
"89325",0,0,0,0,0,0,637.89,637.89,575,0,0,0,475,338.2225,0,0,1352.89,475,0,450,0
"89326",0,0,0,0,0,0,1825,1878.64,1825,0,0,0,1825,300.9429,0,0,2106.6,1825,0,91.5,0
"89327",0,0,0,0,0,0,26137.34,53831.1,16939,673.86,786.04,673.86,16939,1730.145,673.86,673.86,89967.53,14732.93,1131,46424.46,3144.16
"89328",0,0,0,0,0,0,0,165,290,0,272.68,0,99,151.6667,0,0,455,0,272.68,272.68,272.68
"89329",0,0,0,0,0,0,1554.18,2807.18,1910,0,0,0,723,248.0393,0,0,7441.18,723,0,0,0
"89330",0,0,0,0,0,0,75,309.1,757,75,0,75,206.7,213.0825,75,75,1704.66,75,0,0,0
"89331",0,0,0,0,0,0,159.6,413.09,127,159.6,0,79.8,127,56.745,79.8,83.79,453.96,83.79,0,0,0
"89332",0,0,0,0,0,0,0,34.25,27,0,786.04,0,27,17.125,0,0,34.25,0,1131,46424.46,3144.16
"89333",0,0,0,0,0,0,0,73.58,1708.88,0,0,0,73.58,442.65,0,0,3983.85,0,0,0,0
"89334",0,0,0,0,0,0,26137.34,53831.1,16939,673.86,0,673.86,16939,1730.145,673.86,673.86,89967.53,14732.93,0,0,0
"89335",0,0,0,0,0,0,1595.73,2622.4,1771.16,0,0,0,500,342.9822,0,0,9260.52,500,0,0,0
"89336",0,0,0,0,0,0,66.1,223.32,40.42,0,0,0,40.42,20.30182,0,0,223.32,39.88,0,0,0
"89337",0,0,0,0,0,0,0,4092.7,911.31,0,0,0,911.31,469.34,0,0,4693.4,0,0,0,0
"89338",0,0,0,0,0,0,183.5,2524.66,1710.05,0,0,0,1710.05,376.66,0,0,4896.58,108.87,0,0,0
"89339",0,0,0,0,0,0,60,90,30,30,30,30,30,30,30,30,210,30,30,60,30
"89340",0,0,0,0,0,0,58.25,58.25,596.05,58.25,0,58.25,58.25,327.15,58.25,58.25,654.3,58.25,0,0,0
"89341",0,0,0,0,0,0,33.95,2286.63,1091.36,0,0,0,1091.36,434.5186,0,0,3041.63,33.95,0,0,0
"89342",0,0,0,0,0,0,380.83,2669.75,1076.4,0,0,0,1076.4,303.4144,0,0,2730.73,299.99,0,153,0
"89343",0,0,0,0,0,0,342,431.49,307,0,0,0,307,72.68375,0,0,581.47,307,0,0,0
"89344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89345",0,0,0,0,0,0,1449.56,3753.84,2011.93,35,0,35,2011.93,417.0933,35,35,3753.84,650,0,0,0
"89346",0,0,0,0,0,0,968.47,4441.9,2290,0,0,0,2196,501.944,0,0,7529.16,298.48,0,1689.64,0
"89347",0,0,0,0,0,0,446.5,1615.87,1490,8.75,0,8.75,429,342.0915,8.75,8.75,4447.19,429,0,3833.82,0
"89348",0,0,0,0,0,0,34,229.99,987.9,0,0,0,105.5,224.659,0,0,2246.59,34,0,0,0
"89349",0,0,0,0,0,0,2186.09,5695.5,1250,0,0,0,1250,261.7926,0,0,7068.4,600,0,0,0
"89350",0,0,0,0,0,0,66.64,102.29,360.75,0,0,0,38.04,127.408,0,0,637.04,38.04,0,0,0
"89351",0,0,0,0,0,0,168,168,1906,168,0,168,168,1037,168,168,2074,168,0,0,0
"89352",0,0,0,0,0,0,89.85,660.61,1162,0,0,0,299.98,199.7742,0,0,2397.29,89.85,0,89.85,0
"89353",0,0,0,0,0,0,412.32,507.32,1135.55,0,0,0,412.32,547.6233,0,0,1642.87,412.32,0,0,0
"89354",0,0,0,0,0,0,0,893.26,563.5,0,0,0,263.92,159.5314,0,0,2233.44,0,0,0,0
"89355",0,0,0,0,0,0,42.86,42.86,1110,0,0,0,42.86,299.9314,0,0,2099.52,42.86,0,0,0
"89356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89357",0,0,0,0,0,0,27232.8,55457.62,16939,1626.52,0,203.315,16939,1526.568,162.875,532.1,91594.05,14732.93,0,0,0
"89358",0,0,0,0,0,0,0,1.2,14.89,0,0,0,1.2,8.696667,0,0,26.09,0,0,722.44,0
"89359",0,0,0,0,0,0,162.54,219.11,100.76,0,6.4875,0,69.45,20.76,0,0,602.04,69.45,35.07,775.95,207.6
"89360",0,0,0,0,0,0,0,0,74,0,0,0,0,74,0,0,74,0,0,0,0
"89361",0,0,0,0,0,0,435,2583.27,899.97,435,16.1,217.5,899.97,291.165,217.5,290,2911.65,290,16.1,822.34,16.1
"89362",0,0,0,0,0,0,446.5,1615.87,1490,8.75,1825.696,8.75,429,342.0915,8.75,8.75,4447.19,429,27218,72904.7,34688.23
"89363",0,0,0,0,0,0,480.05,11742.2,2471.8,241.98,0,120.99,1837,455.6332,120.99,184.2,30983.06,184.2,0,0,0
"89364",0,0,0,0,0,0,1884.68,4269.61,2340.43,0,0,0,1327.25,856.41,0,0,9420.51,979.98,0,0,0
"89365",0,0,0,0,0,0,1201.68,8231.61,1975,0,0,0,1975,875.0845,0,0,17501.69,1201.68,0,0,0
"89366",0,0,0,0,0,0,0,1658.34,1014.02,0,0,0,1014.02,767.5533,0,0,2302.66,0,0,0,0
"89367",0,0,0,0,0,0,1940.43,4227.49,1090.75,121.03,0,60.515,1090.75,241.4926,60.515,81.38,8210.75,1090.75,0,1993.6,0
"89368",0,0,0,0,0,0,0,1215.4,1995,0,0,0,600,402.0168,0,0,7638.32,0,0,0,0
"89369",0,0,0,0,0,0,0,0,431.6,0,1825.696,0,0,300.8,0,0,601.6,0,27218,72904.7,34688.23
"89370",0,0,0,0,0,0,3856.63,5268.28,2457.97,0,1825.696,0,1068.54,661.7017,0,0,19189.35,1068.54,27218,72904.7,34688.23
"89371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89372",0,0,0,0,0,0,0,0,73,0,0,0,0,73,0,0,73,0,0,0,0
"89373",0,0,0,0,0,0,0,0,325,0,0,0,0,222.5333,0,0,667.6,0,0,1689.64,0
"89374",0,0,0,0,0,0,2105.65,4308.47,842.5,1282.33,0,427.4433,842.5,264.2152,336.24,842.5,6605.38,842.5,0,0,0
"89375",0,0,0,0,0,0,2861,2914.64,1825,1036,280,518,1825,349.1778,518,518,3142.6,1825,300,560,560
"89376",0,0,0,0,0,0,139.95,279.9,257.02,139.95,0,139.95,139.95,178.9733,139.95,139.95,536.92,139.95,0,0,0
"89377",0,37,37,0,0,0,0,181102.9,6051.49,0,427.5,0,6051.49,4333.664,0,0,182013.9,0,427.5,1212.02,427.5
"89378",0,0,0,0,0,0,0,3434.49,2225,0,0,0,2225,719.98,0,0,3599.9,0,0,0,0
"89379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89380",0,0,0,0,0,0,870.14,2524.98,2139.32,722.36,0,361.18,1065.42,404.4552,361.18,433.44,8493.56,433.44,0,0,0
"89381",0,0,0,0,0,0,78.82,198.15,814.11,71.95,67.4,35.975,119.33,167.0245,35.975,50,1837.27,50,67.4,662.2,67.4
"89382",0,0,0,0,0,0,0,0,451.68,0,0,0,0,232.18,0,0,464.36,0,0,76.85,0
"89383",0,0,0,0,0,0,0,1463.75,794,0,170.0483,0,794,487.9167,0,0,1463.75,0,380.06,6441.28,1020.29
"89384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89385",0,0,0,0,0,0,714,714,714,0,0,0,714,492.1,0,0,984.2,714,0,0,0
"89386",0,0,0,0,0,0,1307.67,1706.62,1757.57,60,1825.696,60,1247.67,201.94,60,60,5452.38,1247.67,27218,72904.7,34688.23
"89387",0,0,0,0,0,0,0,1215.4,1995,0,0,0,600,402.0168,0,0,7638.32,0,0,100,0
"89388",0,0,0,0,0,0,25.97,25.97,475,0,0,0,16.98,127.0613,0,0,1016.49,16.98,0,0,0
"89389",0,0,0,0,0,0,982.99,3667.88,1100.74,168.9,0,168.9,1100.74,212.0346,168.9,168.9,5936.97,799.32,0,0,0
"89390",0,0,0,0,0,0,0,932.45,493.65,0,0,0,493.65,269.725,0,0,1618.35,0,0,0,0
"89391",0,0,0,0,0,0,260.03,411.75,1219.42,0,0,0,241.58,286.345,0,0,2290.76,241.58,0,0,0
