"","Fraud","Avg_amount_merch_1","Amount","Card_freq_7","Card_freq_14","Card_freq_3","Avg_amount_merch_30","Median_amount_merch_30","Avg_amount_merch_14","Card_freq_1","Card_freq_30","Merchant_freq_3","Avg_amount_merch_7","Merchant_freq_7","Merchant_freq_1","Median_amount_merch_14","Total_amount_card_1","Merchant_freq_14","Max_amount_card_1","Total_amount_card_3","Avg_amount_card_30"
"83115","Yes",0.661741968388145,1.03465249007646,0.425005910621787,0.715401307108018,0.367919007546162,0.243394462698029,-0.0999776026985283,-0.0393707698624695,-0.0446760776340488,0.405868819537326,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,-1.42205071115108,-0.426624889480631,-1.99424559944678,-1.1144803249883,-0.266871666665943
"83119","Yes",0.374527904521935,8.1627026299159,0.425005910621787,0.715401307108018,0.367919007546162,9.91961999058796,8.37191697144087,11.4543700183267,-0.0446760776340488,0.405868819537326,0.083917416508938,11.1287224204699,0.0411673803505035,-0.0619369536998911,8.01673532943458,-0.707637672419859,0.151525840036291,-0.501213071838806,-0.717501976616589,0.520723746776035
"83214","Yes",0.0603203021000039,1.10009036846845,0.230092789120717,0.715401307108018,0.290485179884086,4.98525830823931,14.5394435245559,6.52438369892891,-0.329391535814876,0.434521852780602,-0.320317686482279,4.26851360788756,-0.371044435874683,-0.333066448448359,26.3274197510543,0.949497927172495,-0.365228351832816,0.619430680928114,-1.07807030296322,-0.257102157168903
"1","Yes",0.0912478646408847,0.145174966728646,-0.403374855757758,-0.518494989931151,-0.406419269074599,0.24041501942409,0.0190529460570446,-0.0393707698624695,-0.329391535814876,-0.586055630613817,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.32370967999292,0.16661413739338
"2","Yes",-0.189969319590867,-0.293280685854435,-0.298123841907458,-0.421432415810381,-0.397129678921829,-0.0379665591929031,-0.170279615830168,-0.0260182406735085,-0.329391535814876,-0.547709608830462,-0.425067491286719,-0.0180849890006051,-0.426880499651097,-0.393317447281352,-0.145990004722023,0.949497927172495,-0.426420288737875,0.619430680928114,1.30335587684381,-0.159220650684729
"3100","Yes",0.26688728754278,0.419020599591187,-0.23650334006329,-0.303274345676874,-0.266405198121262,0.205287666074156,-0.0848117031790903,0.265018156452664,-0.329391535814876,-0.336767068672592,-0.393990815930733,0.297847273760002,-0.395172587652371,-0.393317447281352,-0.0553103980678235,0.949497927172495,-0.408122254310153,0.619430680928114,0.0183176297422115,0.342756227116409
"4","Yes",-0.145448490228893,-0.223866687045041,-0.278152739132492,-0.291479598194034,-0.39171190781889,-0.0491268785731913,-0.173737240556957,-0.0393707698624695,-0.329391535814876,-0.364088797496463,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.25997263475557,-0.303903240643812
"5","Yes",0.168662049012362,0.265874158068996,-0.403374855757758,-0.518494989931151,-0.406419269074599,0.185832220976702,-0.0172907678281397,-0.0393707698624695,-0.329391535814876,-0.593517922809083,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.149658469768819,0.949497927172495,-0.426624889480631,0.619430680928114,1.32370967999292,0.127607520968779
"610","Yes",0.181837538463693,0.286416529408311,-0.398218410127821,-0.477365113363178,-0.406419269074599,0.220675473179569,-0.0834263967827869,-0.0180231473946478,-0.329391535814876,-0.542713352641238,-0.425770322045206,-0.00186202210654052,-0.426263765016145,-0.393317447281352,-0.143793438077284,0.949497927172495,-0.421508511343313,0.619430680928114,1.32370967999292,0.152507625256633
"7","Yes",-0.136001955334823,-0.209138260569456,-0.403374855757758,-0.50207806020398,-0.406419269074599,-0.365155530674634,-0.270604019388603,-0.139221179789408,-0.329391535814876,-0.568334310734028,-0.425770322045206,-0.0336866972140832,-0.427255138087208,-0.393317447281352,-0.17709130541677,0.949497927172495,-0.424582694673672,0.619430680928114,1.32370967999292,-0.266145978204282
